하얀책상 도안2호점 보드카페,"대전 유성구 원신흥로55번길 66-23 1층
(지번) 원신흥동 508-8","
영업시간 매일 11:00 ~ 23:00","042-823-2540

"
대전보드게임카페타운 보드카페,"대전 유성구 대학로151번길 28 3층
(지번) 궁동 409-9","
영업시간 매일 14:00 ~ 23:00","042-822-6543

"
메카 보드카페,"대전 유성구 대학로151번길 8 지하1층
(지번) 궁동 425-10","
영업시간 월,수,목,일 15:00 ~ 01:00","042-823-2331
"
보드플렉스 보드카페,"대전 서구 둔산로 32-11 4층
(지번) 둔산동 1054",,
체스카페 보드카페,"대전 서구 둔산중로 40
(지번) 둔산동 1417",,
카페코나 보드카페,"대전 서구 도산로369번길 92 2층
(지번) 괴정동 423-23",,
카페코나 괴정2호점 보드카페,"대전 서구 용문로 36-1 2층
(지번) 괴정동 48-52",,"042-528-5059
"
라이트앤게임즈 보드카페,"대전 서구 도안남로 142 도안프라자 2층
(지번) 관저동 1750","
영업시간 월,화,수,목,일 13:00 ~ 22:00","070-5214-0481

"
레드버튼 은행점 보드카페,"대전 중구 중앙로164번길 7 지하 1층
(지번) 은행동 45-5","
영업시간 월~목 13:00 ~ 01:00","042-256-3799
"
잼보드게임 보드카페,"대전 중구 대둔산로 397
(지번) 산성동 117-5","
영업시간 매일 13:00 ~ 02:00","042-581-0110

"
태기보드게임카페 보드카페,"대전 대덕구 한남로12번길 27
(지번) 오정동 223-264",,"042-633-9921

"
홈즈앤루팡 보드게임카페 대전은행점,"대전 중구 중앙로156번길 10 3층
(지번) 은행동 142-4","
영업시간 월~목 13:00 ~ 01:00","042-252-8707

"
히어로보드게임카페 복합터미널점,"대전 동구 동서대로 1688 빅플러스타워 2층
(지번) 성남동 494-15","
영업시간 월~목 13:00 ~ 23:00","042-624-0123

"
보드막보드카페 은행점 보드카페,"대전 중구 중앙로164번길 26 2층
(지번) 은행동 33-1","
영업시간 매일 11:00 ~ 24:00","042-221-2522
"
두더지하 보드카페,"대전 중구 중앙로164번길 37 지하1층
(지번) 은행동 76-10",,"042-352-8136

"
탑 보드카페,"대전 동구 홍도로33번길 74-12 2층
(지번) 홍도동 96-2",,
프렌즈 보드카페,"대전 동구 동대전로 139 3층
(지번) 자양동 141-3",,
욜로게임즈 보드카페,"세종특별자치시 갈매로 351 에비뉴힐 2123호
(지번) 어진동 671",,"044-867-7010

"
한국보드 보드카페,"대전 대덕구 대덕대로1504번길 43
(지번) 목상동 195-2",,"010-8368-9342
"
드림보드게임장 보드카페,"충남 논산시 계백로 1178
(지번) 지산동 757-2",,
더홀릭보드게임카페 충북대점 보드카페,"충북 청주시 서원구 1순환로674번길 3 2,3층
(지번) 사창동 480","
영업시간 월~목 13:00 ~ 01:00","043-716-0230

"
정글비 분평점 보드카페,"충북 청주시 서원구 1순환로1107번길 21 조은주차빌딩 201호
(지번) 분평동 1383","
영업시간 월~금 13:00 ~ 23:00","043-287-1029
"
정글비 청주지웰시티점 보드카페,"충북 청주시 흥덕구 대농로 39 엘케이트리플렉스 205호
(지번) 복대동 288-124","
영업시간 월~금 14:00 ~ 23:00","043-235-5322

"
홈즈앤루팡 보드카페,"충북 청주시 상당구 상당로81번길 26 3층
(지번) 북문로1가 165",,"043-223-8707
"
보드플렉스 보드카페,"충북 청주시 상당구 성안로 19-2 4층
(지번) 북문로1가 70-5","
영업시간 월~금 12:00 ~ 24:00",
모노폴리보드게임 보드카페,"충북 청주시 서원구 1순환로672번길 62 지하1층
(지번) 사창동 460",,"043-263-5582
"
런보드카페 보드카페,"충북 청주시 서원구 1순환로672번길 46
(지번) 사창동 454-1",,
보드게임카페 레드버튼 천안점 보드카페,"충남 천안시 동남구 만남로 48 알지비빌딩 7층 701호
(지번) 신부동 462-5","
영업시간 월~목 13:00 ~ 24:00","041-621-2080

"
레드박스 보드카페,"충남 아산시 배방읍 호서로 234
(지번) 배방읍 회룡리 180-1","
영업시간 매일 09:30 ~ 22:00","010-6833-5190

"
스페이스공간 보드카페,"충남 천안시 서북구 불당33길 36 천아빌딩 4층
(지번) 불당동 1629",,"
"
정글비 청주오창점 보드카페,"충북 청주시 청원구 오창읍 중심상업1로 20 엘케이트리플렉스2 201호
(지번) 오창읍 양청리 820-2","
영업시간 월~금 14:00 ~ 23:00","043-213-5548
"
케이아레나 보드카페,"충북 청주시 청원구 1순환로 134 4층
(지번) 율량동 2073",,
킹덤보드게임카페 보드카페,"충남 천안시 동남구 먹거리11길 25 4층
(지번) 신부동 461-4","
영업시간 매일 13:00 ~ 01:00","
"
홈즈앤루팡 천안점 보드카페,"충남 천안시 동남구 만남로 28 5층
(지번) 신부동 461-1","
영업시간 월~목 13:00 ~ 24:00","041-567-8707

"
큐브트리 보드카페,"충남 천안시 동남구 먹거리11길 36 3층
(지번) 신부동 463-1","
영업시간 월~금 12:00 ~ 22:00","041-567-5840
"
온앤오프 보드카페,"전북 전주시 덕진구 명륜3길 14 1동 3층
(지번) 덕진동1가 1264-5","
영업시간 월~목 13:00 ~ 24:00","063-271-7983

"
보드막보드게임카페 보드카페,"전북 전주시 완산구 전주객사5길 30-2 1층
(지번) 고사동 58-1","
영업시간 매일 12:00 ~ 24:00","063-288-8780
"
