이름,링크,상세정보
1인용 게임 (Solo / Solitaire Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1018,"혼자 게임을 하도록 설계된 게임이거나, 그러한 게임 모드를 포함한 게임을 말합니다. 
원래 2인 이상 게임이나, 플레이어가 실력을 향상시키기 위해 두개 이상의 진영을 플레이할 수 있는 게임은 이에 포함되지 않습니다(보통 전쟁 게임 플레이어나 체스 플레이어들 중에 이러한 경우가 많습니다). "
1회용 능력 (Once-Per-Game Abilities),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=972,"플레이어들은 게임에서 한 번 사용할 수 있는 특수 능력을 가집니다. 
이는 Warmachine의 'feats'처럼 플레이어들의 고유 능력이거나, Finca에서의 특별 전표처럼 모든 플레이어들이 공통적으로 쓸 수 있는 능력입니다. 
종종 플레이어들은 게임 중 이 능력을 사용하지 않았다면 추가 승점을 받을 수도 있습니다. "
3차원 이동 (Three Dimensional Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1032,"게임말의 위치 및 이동이 3차원 공간에서 이루어집니다. 다층 게임 공간이나 평면(2차원) 게임 공간의 위 또는 아래에 높이를 표시하는 표시말이나 토큰 등으로 표현됩니다. 
예시 게임으로는 Chopper Strike가 있습니다. 이 게임은 물리적으로 헬리콥터나 탱크가 이동하는 2층 구조를 가집니다. 다른 예인 Attack Vector: Tactical은 게임판 표면에 높이를 보여주는 타일을 가지고 있습니다. "
가변적 단계 순서 (Variable Phase Order),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1042,"가변적 단계 순서는 차례가 이전 또는 이후와 같은 방법으로 진행되지 않을 수 있다는 것을 의미합니다. 
푸에르토 리코에서 대표적으로 이 방법을 사용합니다. 매 차례는 서로 다릅니다. 누가 어떤 역할을 선택하기 시작하는지, 어떤 역할을 맡는지에 따라, 여러분은 ""건설"" 행동을 원하는 것보다 더 빨리 수행해야 할 수도 있습니다. 어떤 게임에서는, 특정 행동을 수행하는 것이 거부될 수도 있습니다. 
행동이 제한되고 게임의 차례 순서가 정해져있지 않은 대부분의 게임은 이 메커니즘에 해당합니다만, 단순히 차례 순서가 변한다고 이 메커니즘 게임인 것은 아닙니다.  "
가변적 준비 (Variable Set-up),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1044,"게임 시작 상황이 매 게임마다 바뀝니다. 지도같은 공용 게임 구성물을 바꾸거나, 자원이나 목표같은 플레이어들의 시작 구성 등이 바뀔 수 있습니다."
가변적 플레이어 능력 (Variable Player Powers),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1043,"각 플레이어들은 각자 자신만 사용할 수 있거나, 기본 행동을 개선할 수 있는 특별한 행동을 가집니다.  "
가위바위보 (Rock-Paper-Scissors),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1002,"3가지 선택지가 있습니다. 3가지는 순환적으로 상성 우위를 가집니다(A가 B를 이기고, B가 C를 이기고, C는 A를 이깁니다). 
이 이름은 아이들이 자주 즐기는 놀이에서 따 왔습니다. 이 게임에서 
가위는 보자기를 자르고
보자기는 바위를 감싸고
바위는 가위를 망가뜨립니다. 
하지만 순환하는 메커니즘이 있는 모든 게임을 가리킬 수 있습니다. "
가장 높은 최솟값 점수 (Highest-Lowest Scoring),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=933," 플레이어의 점수는 여러 카테고리에서 가장 낮은 값이 됩니다. 누구든 가장 높은 최솟값을 가진 플레이어가 게임에서 승리합니다. 
이 시스템은 보통 크니치아(Knizia) 작가의 점수 방식으로 알려져 있습니다. 이 메커니즘을 일찍이 활용한 예로는 티그리스 & 유프라테스가 있습니다. 이 게임에서 플레이어는 서로 다른 4가지 색깔(빨간색, 초록색, 파란색, 노란색)의 큐브를 모으고 가장 큐브의 수가 적은 색깔이 점수가 됩니다. 한 플레이어가 빨간색 12개, 초록색 10개, 파란색 6개, 노란색 2개를 가지고 있다면 이 플레이어의 최종 점수는 2점입니다. 이 메커니즘은 플레이어가 특정 큐브만 집중적으로 모으지 않도록 만듭니다. 가장 높은 최솟값 점수는 완성한 세트만 점수로 계산되는 ""세트 모으기(Set Collection)"" 중 특별한 경우입니다.
  참조 : 세트모으기(Set Collection)"
감싸기 (Enclosure),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=918,"영역 감싸기 게임에서 플레이어들은 일정 영역을 둘러싸기 위해 자신이 가진 구성물을 놓거나 이동시킵니다. 영역 감싸기로 가장 오래되고 유명한 게임이라면 단연코 바둑이겠으나, 굳이 거기까지 가지 않더라도 이에 해당하는 게임은 많습니다.
영역 감싸기는 ""지역 우선권 / 영향력(Area Majority / Influence)""과는 다릅니다. 영역 감싸기에서는 플레이어들이 게임을 하는 동안 구획이 나누어진 게임판에서 실제로 특정 영역을 만들어내는 반면, ""지역 우선권 / 영향력(Area Majority / Influence)"" 게임에서는 각 지역이 이미 만들어져 있고 플레이어들은 그 지역에 대한 통제권을 놓고 경쟁합니다."
강제 입찰 (Constrained Bidding),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=903,"""강제 입찰""은 다른 경매 유형에 적용될 수 있는 메타-메커니즘입니다. 이 방식에서는 플레이어가 원하는 금액으로 자유롭게 입찰을 할 수 없습니다. 이러한 유형에는 플레이어가 더 높은 금액을 불러야만 하거나, 특정 조합으로 주어진 자원으로만 입찰해야 하는 등이 있습니다.
예를 들어 태앙신 라에서는 플레이어들이 각자 주어진 3개의 입찰 타일 중 하나를 골라서 입찰을 해야 하며, 하이 소사이어티에서는 각자 손에 든 돈 카드를 추가로 내서 입찰 금액을 올려야만 하고 원하는 대로 입찰 금액을 바꾸는 것은 금지됩니다."
