code,type
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,3
9,7
10,7
11,7
12,7
13,7
14,2
15,7
16,7
17,7
18,2
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,4
27,6
28,7
29,7
30,4
31,7
32,7
33,3
34,7
35,3
36,7
37,3
38,7
39,7
40,4
41,3
42,7
43,7
44,7
45,6
46,7
47,3
48,7
49,7
50,7
51,7
52,3
53,7
54,7
55,7
56,7
57,7
58,7
59,3
60,1
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,4
73,7
74,3
75,1
76,3
77,7
78,6
79,7
80,7
81,7
82,4
83,7
84,4
85,7
86,7
87,1
88,7
89,7
90,4
91,6
92,3
93,7
94,7
95,8
96,1
97,7
98,7
99,3
100,3
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,3
110,6
111,6
112,7
113,7
114,4
115,7
116,7
117,4
118,1
119,7
120,6
121,3
122,3
123,7
124,7
125,7
126,2
127,7
128,6
129,4
130,7
131,4
132,7
133,7
134,7
135,7
136,7
137,4
138,1
139,7
140,7
141,7
142,7
143,4
144,7
145,3
146,7
147,7
148,4
149,7
150,7
151,7
152,4
153,7
154,7
155,4
156,7
157,3
158,7
159,4
160,4
161,3
162,4
163,7
164,4
165,7
166,7
167,7
168,3
169,7
170,7
171,7
172,4
173,3
174,7
175,1
176,7
177,6
178,4
179,7
180,4
181,7
182,7
183,7
184,7
185,8
186,3
187,7
188,7
189,4
190,6
191,1
192,4
193,8
194,4
195,4
196,7
197,7
198,7
199,7
200,3
201,4
202,7
203,6
204,7
205,4
206,7
207,7
208,2
209,7
210,7
211,4
212,7
213,7
214,3
215,7
216,7
217,7
218,3
219,4
220,7
221,4
222,7
223,4
224,2
225,4
226,4
227,4
228,7
229,4
230,7
231,3
232,7
233,7
234,3
235,7
236,3
237,7
238,8
239,2
240,7
241,3
242,7
243,7
244,7
245,4
246,3
247,7
248,4
249,7
250,3
251,4
252,4
253,7
254,7
255,7
256,7
257,1
258,7
259,7
260,4
261,4
262,4
263,6
264,4
265,7
266,4
267,7
268,4
269,3
270,4
271,3
272,7
273,6
274,6
275,7
276,3
277,7
278,3
279,7
280,1
281,6
282,4
283,7
284,3
285,6
286,4
287,4
288,4
289,4
290,6
291,8
292,8
293,3
294,6
295,7
296,7
297,4
298,3
299,7
300,7
301,4
302,7
303,7
304,4
305,7
306,7
307,4
308,6
309,4
310,7
311,3
312,4
313,4
314,7
315,7
316,4
317,4
318,7
319,6
320,8
321,8
322,7
323,7
324,4
325,7
326,3
327,7
328,7
329,7
330,8
331,7
332,7
333,7
334,4
335,7
