catek|cate
1차 세계 대전|World War I
2차 세계 대전|World War II
SF|Science Fiction
게임 시스템|Game System
경제|Economic
고대|Ancient
공포|Horror
교육|Educational
기억력|Memory
기차|Trains
나폴레옹 시대|Napoleonic
나폴레옹 시대 이후|Post-Napoleonic
내전|Civil War
농사|Farming
단어 게임|Word Game
도시 건설|City Building
동물|Animals
레이싱|Racing
르네상스|Renaissance
마피아|Mafia
만화 / 연재물|Comic Book / Strip
모험|Adventure
문명|Civilization
미국 남북 전쟁|American Civil War
미국 독립 전쟁|American Revolutionary War
미국 서부|American West
미국 인디언 전쟁|American Indian Wars
미니어처|Miniatures
미로|Maze
베트남 전쟁|Vietnam War
블러핑|Bluffing
비디오 게임 테마|Video Game Theme
산업 / 제조|Industry / Manufacturing
살인 / 미스터리|Murder/Mystery
서적|Book
선사시대|Prehistoric
성인|Mature / Adult
소설 기반 게임|Novel-based
수집형 게임|Collectible Components
수학|Math
숫자|Number
스파이 / 비밀 요원|Spies/Secret Agents
스포츠|Sports
신화|Mythology
실시간|Real-time
아라비안|Arabian
액션 / 손재주|Action / Dexterity
어린이 게임|Children's Game
여행|Travel
영토 건설|Territory Building
영화 / TV / 라디오 테마|Movies / TV / Radio theme
우주 탐험|Space Exploration
운송|Transportation
유머|Humor
음악|Music
의학|Medical
이성의 시대|Age of Reason
전자기기|Electronic
전쟁 게임|Wargame
전투|Fighting
정치|Political
좀비|Zombies
종교|Religious
주사위|Dice
중세|Medieval
창과 총|Pike and Shot
추리|Deduction
추상 전략|Abstract Strategy
출력 가능 게임|Print & Play
카드 게임|Card Game
탐험|Exploration
트리비아|Trivia
파티 게임|Party Game
판타지|Fantasy
팬 확장|Fan Expansion
퍼즐|Puzzle
한국 전쟁|Korean War
항공 / 비행|Aviation / Flight
해상|Nautical
해적|Pirates
현대전|Modern Warfare
협상|Negotiation
확장 게임|Expansion for Base-game
환경|Environmental
