code,type
1,34
1,41
1,55
1,56
1,64
1,65
1,73
1,148
1,154
1,164
1,167
1,169
1,179
1,184
1,185
1,186
2,4
2,5
2,29
2,30
2,38
2,42
2,44
2,46
2,63
2,64
2,65
2,82
2,97
2,109
2,139
2,143
2,150
2,154
2,161
2,184
3,42
3,50
3,63
3,64
3,65
3,97
3,110
3,139
3,154
3,184
4,3
4,14
4,16
4,57
4,73
4,110
4,164
5,41
5,56
5,65
5,73
5,97
5,108
5,154
5,167
5,178
5,184
5,185
5,186
6,7
6,8
6,10
6,29
6,50
6,57
6,64
6,149
6,150
6,162
6,175
7,2
7,56
7,60
7,68
7,74
7,179
7,183
8,3
8,42
8,64
8,82
8,124
8,148
8,172
8,184
9,81
9,110
9,148
9,162
9,175
9,184
10,23
10,34
10,55
10,64
10,74
10,154
10,177
10,184
10,188
11,50
11,56
11,62
11,65
11,116
11,148
11,169
11,182
11,185
11,189
12,108
12,184
13,64
13,73
13,85
13,91
13,108
13,167
13,182
13,185
14,3
14,46
14,64
14,130
14,145
14,164
14,184
15,42
15,50
15,63
15,64
15,97
15,110
15,139
15,154
15,169
15,184
16,25
16,56
16,177
16,188
17,49
17,64
17,164
17,185
18,3
18,11
18,38
18,42
18,46
18,57
18,64
18,89
18,97
18,128
18,139
18,143
18,154
18,158
18,184
19,2
19,41
19,56
19,73
19,108
19,154
19,182
19,184
19,185
19,188
20,37
20,77
20,148
20,154
20,188
21,23
21,56
21,74
21,85
21,113
21,154
21,188
22,64
22,73
22,85
22,91
22,108
22,167
22,182
23,56
23,65
23,73
23,74
23,108
23,167
23,178
23,184
23,185
23,186
24,23
24,50
24,62
24,73
24,128
24,154
24,169
24,178
24,188
25,11
25,64
25,87
25,110
25,148
26,41
26,110
26,130
26,148
27,58
27,67
27,140
27,150
27,166
27,173
27,184
27,187
28,64
28,80
28,125
28,166
28,174
29,23
29,74
29,154
29,169
29,177
29,188
30,125
30,174
31,50
31,110
31,184
31,188
31,189
32,2
32,41
32,50
32,56
32,64
32,109
32,148
32,185
33,3
33,11
33,50
33,64
33,105
33,128
33,147
33,161
33,172
33,173
33,184
33,187
34,5
34,10
34,23
34,29
34,42
34,64
34,97
34,148
34,150
34,154
34,184
34,185
35,11
35,42
35,50
35,64
35,88
35,97
35,139
35,143
35,154
35,158
35,166
35,173
35,184
36,41
36,50
36,73
36,124
36,137
