code,type
1,5
1,84
1,33
1,3
1,52
1,50
2,22
2,71
2,74
2,60
2,28
3,22
3,71
3,74
3,60
4,70
4,23
4,5
5,23
5,5
5,28
5,3
5,52
5,50
6,81
6,61
6,59
7,16
7,5
7,14
8,84
8,56
9,6
9,70
9,16
9,23
9,5
10,17
10,5
10,14
11,64
11,65
11,50
12,23
12,5
12,74
12,50
13,5
13,33
13,12
13,53
14,31
14,70
14,39
14,3
15,22
15,71
15,74
15,60
16,6
16,23
16,5
16,14
16,44
17,70
17,65
18,22
18,70
18,39
18,74
18,7
18,38
19,5
19,84
19,33
20,5
21,16
21,5
21,33
21,79
22,5
22,33
22,12
22,53
23,23
23,5
23,74
23,50
24,5
24,14
24,33
24,65
24,76
25,6
25,61
26,70
26,5
26,19
27,31
27,70
27,67
27,74
27,65
27,82
27,73
27,42
28,70
29,17
29,5
29,74
29,14
30,70
30,79
30,80
31,19
32,70
32,64
32,5
33,31
33,67
33,7
33,62
34,74
34,60
34,44
34,50
35,22
35,71
35,74
35,60
35,7
35,28
35,34
35,76
36,64
36,5
36,65
36,49
37,22
37,74
37,60
37,7
37,38
37,49
38,5
38,33
38,12
38,53
39,70
39,65
40,64
41,22
41,71
41,60
41,38
41,50
42,5
42,10
42,53
43,26
43,17
43,5
44,5
45,54
45,73
45,45
46,5
46,60
46,3
46,50
47,13
47,28
47,51
47,3
47,52
47,59
48,5
48,33
49,5
49,33
50,17
50,84
50,36
51,6
51,70
51,16
51,23
51,5
52,84
52,71
52,56
53,5
53,14
54,83
54,5
54,84
54,33
54,3
55,70
55,5
56,16
56,5
56,65
57,70
57,5
58,70
58,74
59,22
59,74
59,60
59,38
59,50
59,59
60,68
61,46
61,74
61,44
62,6
63,33
63,10
64,67
64,74
65,5
65,14
66,14
66,65
67,5
67,14
68,5
68,33
69,65
69,63
69,49
70,70
70,74
70,60
70,3
71,6
71,5
71,79
72,10
73,17
73,70
73,8
74,22
74,74
74,60
74,28
74,38
75,68
75,65
75,59
76,22
76,71
76,74
76,60
76,28
77,5
78,70
78,67
78,73
78,42
78,15
79,64
79,5
79,65
80,70
80,23
80,5
80,3
80,52
81,31
81,67
81,34
81,12
82,65
83,31
83,74
83,82
83,38
83,61
83,59
84,5
84,82
85,70
85,23
85,5
86,17
86,74
86,59
87,68
88,23
88,64
88,5
88,3
88,52
89,71
89,50
90,16
90,65
90,50
91,31
91,67
91,34
91,73
92,22
92,46
92,76
92,3
93,5
93,50
94,6
94,44
95,13
95,66
95,59
96,68
97,57
97,70
97,16
97,5
98,12
99,22
99,71
99,74
99,60
99,7
99,28
99,34
99,76
100,60
100,7
100,28
100,62
101,22
101,31
101,67
101,74
101,51
101,38
102,6
102,23
102,50
103,17
103,70
103,16
103,74
104,12
104,76
105,56
106,23
106,60
106,3
106,52
106,59
107,70
107,74
107,60
107,3
108,16
108,74
109,22
109,60
109,7
109,38
110,70
110,65
111,70
111,54
111,73
112,16
112,5
112,33
112,61
113,16
113,5
113,82
114,70
114,79
114,80
115,5
115,14
115,33
116,65
116,63
116,49
117,74
118,68
118,76
118,19
119,64
119,19
120,31
120,67
120,73
120,42
120,15
121,31
121,67
121,34
121,38
122,22
122,70
122,74
122,60
123,5
123,33
124,5
125,16
125,5
125,33
125,65
125,63
125,50
126,70
126,39
126,74
126,60
127,74
127,60
127,50
128,31
128,70
128,67
128,7
128,73
129,79
129,80
129,53
130,74
130,60
130,28
130,44
131,70
131,67
131,19
132,71
132,79
132,19
133,6
133,70
133,67
134,70
134,74
135,16
135,19
136,5
136,83
136,14
136,33
136,65
136,76
137,22
137,17
137,31
137,79
138,68
138,76
139,65
140,65
140,19
141,5
141,14
142,64
142,5
142,36
143,70
143,74
144,70
144,61
145,22
145,71
145,37
145,81
145,32
146,16
146,5
147,16
147,5
147,19
147,50
147,53
148,70
148,3
149,5
149,14
149,79
149,19
150,70
150,10
151,5
151,10
151,53
152,70
152,41
153,70
153,16
153,23
153,33
153,79
153,3
154,70
154,60
154,3
155,70
155,5
155,65
156,5
156,19
157,22
157,46
157,71
157,74
157,49
158,5
158,50
159,22
159,74
160,70
160,14
160,82
161,22
161,74
161,60
161,76
162,17
162,18
162,43
163,5
163,71
163,79
163,19
165,5
165,33
166,5
166,50
167,57
167,70
167,16
167,5
168,70
168,76
169,68
169,65
169,50
170,5
170,10
170,53
171,5
171,14
171,33
172,17
172,76
173,67
173,34
174,57
174,49
175,76
175,45
176,16
176,65
177,70
177,41
178,10
179,5
179,82
180,68
180,70
180,48
180,41
181,68
181,65
182,71
182,79
182,19
183,17
183,5
183,3
184,5
184,10
184,53
185,59
186,22
186,70
186,71
186,3
187,5
188,65
189,64
189,76
190,47
190,64
190,73
191,68
191,29
191,76
191,45
192,70
192,67
192,19
193,68
193,41
194,64
195,17
195,64
195,18
196,5
196,50
197,64
197,5
197,65
197,49
198,64
198,65
198,50
199,64
200,31
200,67
200,51
200,61
200,3
200,52
200,42
201,64
201,41
202,19
203,31
203,70
203,67
203,7
203,82
203,73
204,46
204,70
205,5
205,14
206,31
206,67
206,9
206,34
206,12
207,70
207,5
207,74
208,70
208,74
208,60
209,17
209,70
209,8
209,84
209,60
209,36
209,69
210,5
210,14
211,22
211,78
211,70
211,74
212,70
212,74
212,60
213,56
213,12
213,10
214,22
214,17
214,71
214,74
214,60
214,28
215,16
215,5
215,71
215,3
215,52
215,50
216,74
216,60
217,70
217,16
217,5
218,22
218,7
218,28
218,3
219,17
219,70
219,5
220,16
220,84
220,3
220,50
221,17
221,70
221,48
222,5
223,17
223,18
223,43
224,78
224,31
224,39
224,28
224,51
224,3
224,59
225,16
226,5
226,14
226,50
227,70
227,41
228,5
228,33
229,70
230,68
230,65
231,70
231,60
231,7
231,51
231,3
232,70
232,74
233,5
233,3
234,67
234,76
234,45
235,5
235,84
235,83
235,33
236,22
236,31
236,67
236,74
236,65
236,44
237,70
237,5
237,54
238,70
238,39
238,74
238,28
238,59
239,22
239,70
239,39
239,74
239,38
240,70
241,22
241,71
241,74
241,60
241,28
242,26
242,71
243,57
243,5
244,6
244,23
244,50
245,70
245,3
245,52
246,67
246,34
246,38
246,12
246,42
247,83
247,5
247,84
247,33
247,3
247,50
249,17
249,74
249,54
250,74
250,60
250,7
250,28
250,38
251,70
251,67
251,9
252,70
252,67
252,19
253,17
253,14
254,6
254,44
255,26
255,83
256,64
256,19
257,68
257,65
258,74
258,60
258,7
258,28
259,16
259,23
259,71
259,82
259,32
260,12
260,53
261,10
262,70
262,38
263,26
263,31
263,67
263,64
263,60
263,73
264,22
265,17
265,60
265,3
266,70
266,41
267,5
267,14
267,33
268,70
269,22
269,71
269,7
269,28
270,31
270,70
270,16
270,74
270,65
271,31
271,70
271,67
271,34
272,70
272,5
272,7
272,12
273,73
274,22
274,31
274,70
274,67
274,7
274,73
275,23
275,14
276,7
276,28
276,62
277,16
277,19
278,45
278,3
278,52
278,53
279,65
279,79
280,68
281,70
281,67
281,74
281,7
282,17
282,70
283,5
283,10
284,22
284,71
284,74
284,37
284,65
284,44
284,49
285,31
285,70
285,67
285,54
285,73
285,61
285,69
285,42
286,26
287,64
287,84
287,56
288,70
289,74
289,76
290,73
290,45
291,6
291,59
292,70
292,74
292,60
293,22
293,70
293,64
293,74
293,60
293,7
293,38
294,31
294,73
294,15
295,5
295,65
295,38
295,63
296,22
296,64
296,74
296,60
296,65
296,44
297,68
297,70
297,48
297,41
298,74
298,60
298,28
298,32
299,65
300,14
301,26
301,70
302,6
303,5
303,82
303,61
304,68
304,17
304,16
305,23
305,71
305,19
306,31
306,16
306,23
306,5
306,82
306,61
306,50
307,70
308,31
308,70
308,54
308,65
308,82
308,38
308,73
309,16
309,64
310,70
310,53
311,22
311,74
311,60
311,38
311,50
311,59
312,5
313,70
313,64
313,74
314,6
315,26
315,64
316,70
317,70
318,6
318,64
318,44
319,70
319,54
319,73
320,6
320,61
320,59
321,70
321,48
321,51
322,19
323,78
323,5
324,6
324,53
325,22
325,71
325,20
326,22
326,74
326,60
326,7
326,65
326,28
326,62
327,70
327,23
328,6
328,5
329,31
329,70
329,16
329,67
329,74
329,65
330,59
330,2
331,6
331,67
331,76
331,45
332,74
333,64
333,3
333,52
334,31
334,70
335,5
335,74
336,19
337,70
337,74
338,70
338,5
339,5
339,19
340,6
340,23
341,17
341,31
341,70
342,22
342,6
342,70
342,71
344,22
344,71
344,18
345,47
346,23
346,5
346,65
346,19
347,70
347,74
348,70
349,19
350,23
351,57
351,31
351,82
351,61
351,59
352,74
352,50
353,16
353,5
353,33
353,3
354,47
354,45
355,40
355,3
355,52
356,70
356,60
356,79
356,80
357,5
358,22
358,67
358,34
359,5
360,5
360,14
360,33
361,22
361,71
361,60
361,28
361,51
361,3
361,59
362,23
362,5
362,71
362,82
362,61
362,3
362,52
362,59
363,70
363,67
363,73
363,42
364,17
364,18
364,43
365,16
365,5
365,33
366,6
366,70
366,44
367,47
367,71
367,74
367,60
367,54
367,73
368,70
369,70
369,16
369,5
370,6
370,70
370,16
371,67
371,60
371,79
371,45
372,70
373,6
373,70
373,16
373,23
374,17
374,83
374,74
374,59
375,5
375,65
376,22
376,60
376,7
376,38
377,5
378,64
379,33
379,10
379,53
380,16
380,23
381,70
382,68
382,70
382,48
382,41
383,3
384,26
384,70
385,65
385,50
386,6
386,61
387,17
387,71
387,50
388,23
388,83
388,60
388,3
388,52
389,70
389,41
390,22
390,64
390,54
390,43
390,49
391,70
391,43
392,16
392,65
393,5
393,33
395,28
395,59
395,2
396,5
396,79
396,53
397,22
397,64
397,74
397,60
398,47
398,54
398,73
398,45
399,65
399,61
400,5
400,33
401,70
401,5
402,73
402,15
403,43
404,74
405,70
405,5
405,19
406,70
406,16
407,23
407,3
407,52
407,59
408,68
408,65
409,5
410,16
410,5
411,74
411,28
411,38
411,59
412,68
412,6
412,44
413,22
413,71
413,60
413,38
413,50
414,70
414,10
414,53
415,31
415,70
415,39
415,74
415,60
415,82
415,38
415,61
416,70
416,38
417,31
417,70
417,67
417,73
417,61
418,70
419,83
419,70
419,3
419,52
420,16
420,5
420,33
420,65
421,70
421,74
421,44
421,3
422,60
422,28
422,51
422,3
423,70
423,74
424,5
425,16
425,5
425,56
425,50
425,53
426,6
426,23
426,50
427,5
427,59
427,2
428,5
428,84
428,83
428,33
428,3
428,52
428,50
429,67
429,42
430,6
430,71
430,49
431,64
431,41
432,6
433,70
433,65
433,19
434,74
434,65
435,16
436,17
436,70
436,48
436,82
437,5
437,79
437,61
438,5
438,33
439,70
439,65
439,32
440,68
441,17
441,14
442,59
442,2
443,57
443,27
443,25
443,59
444,70
444,74
445,70
446,68
447,6
447,23
447,64
447,65
447,19
448,26
448,31
448,70
448,67
448,60
448,54
449,11
449,59
450,5
450,79
451,70
452,16
452,5
452,65
453,70
453,21
454,17
454,64
455,74
455,10
456,22
456,31
456,67
456,74
456,51
456,38
457,84
457,14
458,70
459,6
459,70
459,16
459,5
460,6
460,23
460,5
460,38
460,50
461,70
461,5
462,67
462,73
462,45
462,15
463,70
464,5
464,65
464,79
464,53
465,16
466,26
466,16
466,5
467,64
467,5
468,71
468,76
469,64
469,3
469,52
470,5
470,10
470,53
471,23
471,5
471,63
472,70
472,61
473,70
474,70
474,16
474,33
474,65
475,57
475,70
475,61
476,50
476,53
477,31
477,67
477,7
477,37
477,3
477,62
478,16
478,5
478,19
478,50
478,53
479,7
479,38
480,70
480,64
480,74
480,60
481,5
481,65
481,50
482,28
482,59
482,2
483,70
483,71
484,65
485,70
485,73
485,80
486,6
486,82
487,67
487,76
487,45
488,31
489,5
489,82
489,61
489,50
489,59
489,2
490,47
490,70
491,22
491,70
491,60
491,38
491,80
492,16
493,68
493,76
494,16
494,82
495,70
495,61
496,68
496,76
496,19
497,70
498,16
498,5
499,68
500,39
500,60
500,76
500,3
501,70
501,74
501,60
502,5
502,79
502,19
503,39
503,21
503,64
503,60
504,71
504,43
505,70
505,64
505,65
506,33
506,76
506,45
507,70
507,41
508,70
508,48
509,70
509,60
509,3
510,5
510,33
511,47
511,17
512,70
512,74
513,16
513,65
514,16
514,65
514,50
515,36
516,11
516,59
517,64
517,71
517,79
517,73
518,31
518,67
518,34
518,12
519,31
519,70
519,74
520,70
520,71
520,3
520,52
521,5
522,5
522,33
523,70
523,3
523,43
524,57
524,5
524,33
525,5
525,65
525,79
525,50
526,16
526,84
527,70
527,60
528,23
528,82
528,61
528,3
528,52
528,59
529,70
529,21
529,60
530,70
531,68
532,47
532,64
532,45
532,3
533,5
534,70
534,45
535,68
536,26
536,31
536,70
536,67
536,60
537,22
537,74
537,60
537,28
537,32
538,6
538,16
538,50
539,57
539,6
539,23
539,65
539,11
539,66
539,12
539,19
539,59
540,5
540,79
540,61
541,16
541,5
541,65
542,17
542,70
543,68
543,41
544,68
544,76
545,6
546,59
546,2
547,74
547,28
547,59
548,5
548,33
549,17
549,84
549,14
549,50
550,16
550,5
550,14
550,65
551,68
551,70
551,48
551,41
552,70
552,74
552,60
553,17
553,18
553,43
554,31
554,70
554,73
555,6
555,64
556,5
556,74
556,14
557,22
557,5
557,74
557,60
557,54
558,39
558,21
558,64
558,60
558,28
559,83
559,31
559,70
559,39
559,3
560,6
560,61
561,3
561,32
562,16
563,16
563,5
564,70
565,68
566,22
566,83
566,71
566,74
566,60
567,53
568,5
568,65
568,38
568,63
569,26
569,64
570,6
570,63
571,70
571,74
571,60
571,32
572,70
572,39
572,74
573,73
574,22
574,74
574,38
575,22
575,74
575,60
575,28
576,70
576,74
576,60
576,80
577,16
577,64
577,74
577,65
578,17
578,18
578,43
579,70
579,54
579,73
580,31
580,67
580,74
580,7
580,82
580,73
581,64
582,5
582,33
582,53
583,58
583,45
583,3
583,52
584,23
584,5
584,33
584,36
584,53
585,46
586,59
586,2
587,70
587,5
587,65
588,5
588,33
588,61
589,70
589,64
589,74
589,60
590,16
590,74
590,65
590,50
591,22
591,71
591,74
591,60
591,28
591,38
592,68
592,17
593,70
593,74
594,68
595,23
595,65
595,49
596,23
596,6
596,65
596,11
596,19
596,59
597,74
597,60
597,7
597,44
598,70
598,23
599,70
600,17
600,70
600,8
600,84
600,60
600,36
600,69
601,5
601,14
602,22
602,71
602,74
602,60
602,28
603,51
604,70
604,73
605,45
606,67
606,60
606,28
606,3
606,42
607,70
608,5
608,33
609,82
609,66
609,61
609,63
609,19
609,59
610,17
611,68
611,58
612,83
612,17
612,5
612,8
613,22
613,71
614,31
614,67
614,34
615,70
615,74
615,60
615,43
616,70
616,41
617,79
618,16
618,5
618,19
619,68
619,17
620,70
621,65
621,19
622,31
622,60
622,28
622,3
622,59
623,22
623,71
624,5
624,14
624,50
625,79
625,19
626,23
626,82
627,16
627,65
627,50
628,70
628,48
628,73
628,45
629,70
629,64
629,74
629,69
630,74
630,61
631,5
632,16
632,65
633,31
633,67
633,54
633,73
633,42
634,5
634,12
634,10
634,53
635,31
635,70
635,82
636,70
636,67
636,9
637,3
638,70
638,65
639,33
639,52
640,33
641,23
641,71
641,19
641,32
643,22
643,74
643,60
643,28
644,70
644,16
644,5
644,65
645,31
645,82
645,61
645,12
645,59
646,33
646,19
647,74
648,74
648,44
649,79
650,14
651,70
651,18
651,43
652,22
652,71
652,74
652,60
652,28
653,70
653,67
653,41
654,22
654,71
654,74
654,60
654,7
654,28
655,22
655,83
655,71
655,74
655,60
655,7
655,28
655,34
655,76
656,64
656,5
656,50
657,68
658,70
659,16
659,5
659,14
659,50
660,6
660,70
661,63
661,19
662,6
662,23
662,60
662,79
662,50
663,16
663,64
663,5
663,74
664,64
664,79
665,23
665,71
665,74
665,44
665,50
666,70
666,39
666,51
666,3
667,22
667,67
667,71
668,17
668,14
669,74
669,54
669,44
669,38
669,76
670,60
670,65
670,61
671,64
671,74
672,64
672,83
672,76
673,16
673,65
674,74
674,60
674,50
675,6
675,23
675,60
675,79
675,50
676,19
677,31
677,83
677,74
677,82
677,38
677,61
677,59
678,70
678,4
679,14
680,22
680,71
680,74
680,60
680,28
681,68
682,67
682,74
682,51
683,5
683,65
684,16
685,70
686,64
686,28
686,59
687,70
687,5
687,33
688,22
688,71
688,74
688,60
688,7
688,28
689,6
689,82
689,61
689,59
690,78
690,31
690,70
691,76
692,70
692,16
692,5
692,19
693,70
693,5
694,5
694,69
694,10
694,53
695,22
695,32
696,70
696,41
697,70
698,23
698,28
698,3
698,52
698,50
698,32
698,59
699,68
700,81
700,61
700,59
701,18
701,43
702,6
702,16
702,23
702,5
702,71
702,50
703,22
703,16
703,5
703,71
703,74
703,14
703,82
704,6
704,83
705,57
705,70
705,5
706,70
706,67
706,51
706,38
707,39
707,60
707,76
707,3
708,17
708,31
708,70
709,16
709,10
709,53
710,18
710,43
711,74
711,18
711,43
712,31
712,70
713,5
713,55
714,6
714,83
715,5
715,33
715,79
715,53
716,79
716,3
717,31
717,70
717,73
718,65
718,59
719,7
719,28
719,51
720,22
720,71
720,74
720,69
721,5
721,8
721,33
722,17
722,70
722,48
722,38
722,18
723,16
723,5
723,19
724,22
724,71
724,74
724,60
725,22
725,74
725,7
725,37
725,28
725,44
726,64
726,14
727,68
728,70
728,20
729,6
729,16
729,23
729,64
730,83
730,65
731,65
732,68
732,70
732,48
732,41
733,23
734,5
734,10
735,6
735,71
736,70
736,21
736,67
737,31
737,70
737,74
737,60
738,22
738,67
738,60
738,7
738,38
739,67
739,76
739,45
740,10
741,5
741,82
741,19
742,64
742,5
742,14
742,79
743,61
743,59
743,2
744,64
745,23
745,44
746,70
747,31
747,5
747,71
748,70
748,54
748,37
749,70
749,67
749,34
750,22
751,22
751,74
751,60
751,59
752,64
752,74
752,59
753,20
754,70
754,45
754,15
755,64
755,65
755,50
755,59
756,70
756,5
757,23
757,64
757,5
757,71
757,3
758,5
758,33
759,31
759,70
759,67
760,5
760,19
761,70
761,3
762,6
762,23
