title|title(eng)|year|img|score(bl)|score(user)|type|theme|mechanism|bggcode|minplayer|maxplayer|time|mintime|maxtime|age|difficulty
테라포밍 마스|Terraforming Mars|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/01/29/1611915054-873621.jpg|8.222|8.39|전략|경제,환경,산업 / 제조,SF,우주 탐험,영토 건설|비공개 제도,계약,감싸기,게임 종료 보너스,핸드 관리,육각형 구획,수입,세트 컬렉션,1인용 게임,치고받기,기술 트리 / 기술 트랙,타일 ​​배치,턴 오더: 프로그레시브,가변적 플레이어 능력,가변적 준비,승점을 자원으로 사용|167791|1|5|120|120|120|12|3.2499
글룸헤이븐|Gloomhaven|2017|https://boardlife.co.kr/data/boardgame_strategy/2021/01/29/1611914795-315436.jpg|8.342|9.25|전략|모험,탐험,판타지,전투,미니어처|작업 대기열,작업 검색,캠페인/배틀 카드 주도,카드 플레이 분쟁 해결,통신 제한,협동 게임,치명타 및 실패,덱 구성,구획 이동,핸드 관리,육각형 구획,레거시 게임,모듈형 게임판,1회용 능력,역할 놀이,시나리오 / 미션 / 캠페인 게임,동시 동작 선택,1인용 게임,스토리텔링,가변적 플레이어 능력|174430|1|4|120|60|120|14|3.8853
메이지 나이트|Mage Knight Board Game|2011|https://boardlife.co.kr/data/boardgame_strategy/2020/04/02/1585818380-709746.jpg|8.215|8.73|전략|모험,탐험,판타지,전투|협동 게임,주사위 굴리기,구획 이동,핸드 관리,육각형 구획,모듈형 게임판,오픈 드래프팅,역할 놀이,1인용 게임,가변적 플레이어 능력|96848|1|4|240|60|240|14|4.3394
쓰루 디 에이지스: 문명에 관한 새로운 이야기|Through the Ages: A New Story of Civilization|2015|https://boardlife.co.kr/wys2/swf_upload/2022/02/24/1645643684643042.jpg|8.312|8.75|전략|카드 게임,문명,경제|액션 포인트,경매/입찰,경매: 네덜란드식,이벤트,수입,오픈 드래프팅,치고받기|182028|2|4|120|120|120|14|4.4264
가이아 프로젝트|Gaia Project|2017|https://boardlife.co.kr/data/boardgame_strategy/2021/03/09/1615274670-490381.jpg|8.263|8.74|전략|문명,경제,미니어처,SF,우주 탐험,영토 건설|계약,게임 종료 보너스,육각형 구획,수입,모듈형 게임판,네트워크 및 경로 구축,1인용 게임,기술 트리 / 기술 트랙,턴 오더: 패스 오더,가변적 플레이어 능력,가변적 준비,승점을 자원으로 사용|220308|1|4|150|60|150|12|4.3802
황혼의 투쟁|Twilight Struggle|2005|https://boardlife.co.kr/data/boardgame_strategy/2021/02/03/1612344501-765004.jpg|8.229|8.48|전략|현대전,정치,전쟁 게임|액션/이벤트,어드밴티지 토큰,지역 과반수/영향력,캠페인/배틀 카드 주도,주사위 굴리기,이벤트,핸드 관리,시뮬레이션,동시 동작 선택,단판 승부 게임,주도권 싸움|12333|2|2|180|120|180|13|3.5994
푸에르토 리코|Puerto Rico|2002|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640328882-556458.jpg|8.240|8.40|전략|도시 건설,경제,농사|액션 드래프팅,게임 종료 보너스,후속 행동,숨겨진 점수,선택되지 않은 자원의 가치 증대,턴 오더: 프로그레시브,가변적 단계 순서|3076|3|5|150|90|150|12|3.275
팬데믹 레거시: 시즌 1|Pandemic Legacy: Season 1|2015|https://boardlife.co.kr/data/boardgame_strategy/2020/04/02/1585818479-857227.png|8.230|8.72|테마|환경,의학|액션 포인트,협동 게임,핸드 관리,레거시 게임,지점 이동,세트 컬렉션,거래,가변적 플레이어 능력|161936|2|4|60|60|60|13|2.8299
7 원더스: 대결|7 Wonders Duel|2015|https://boardlife.co.kr/data/boardgame_strategy/2021/03/09/1615276187-302156.png|8.189|8.35|전략|고대,카드 게임,도시 건설,문명,경제|겹쳐 놓기,오픈 드래프팅,세트 컬렉션,단판 승부 게임,주도권 싸움,가변적 플레이어 능력|173346|2|2|30|30|30|10|2.2213
아그리콜라|Agricola|2007|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329018-317029.png|8.118|8.27|전략|동물,경제,농사|자동적인 자원 증가,비공개 제도,감싸기,핸드 관리,선택되지 않은 자원의 가치 증대,1인용 게임,턴 오더: 클레임 조치,가변적 플레이어 능력,근로자 배치|31260|1|5|150|30|150|12|3.6382
버건디의 성|The Castles of Burgundy|2011|https://boardlife.co.kr/data/boardgame_strategy/2020/04/02/1585818831-183512.jpg|8.097|8.28|전략|주사위,중세,영토 건설|주사위 굴리기,게임 종료 보너스,구획 덮기,육각형 구획,패턴 구축,세트 컬렉션,타일 ​​배치,턴 오더: 통계 기반,가변적 준비,주사위로 일꾼 배치|84876|2|4|90|30|90|12|2.9955
테라 미스티카 빅 박스|Terra Mystica: Big Box|2015|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329073-893153.jpg|8.182|8.66|전략|문명,경제,판타지,영토 건설|네트워크 및 경로 구축,가변적 플레이어 능력|181289|2|5|150|60|150|12|4
브라스: 버밍엄|Brass: Birmingham|2018|https://boardlife.co.kr/wys2/swf_upload/2022/02/13/1644738474034685.jpg|8.144|8.82|전략|경제,산업 / 제조,나폴레옹 시대 이후,운송|핸드 관리,수입,대출,시장,네트워크 및 경로 구축,기술 트리 / 기술 트랙,턴 오더: 통계 기반,가변적 준비|224517|2|4|120|60|120|14|3.9128
안드로이드: 넷러너|Android: Netrunner|2012|https://boardlife.co.kr/wys2/swf_upload/2022/04/01/1648822880778532.jpg|7.898|8.17|커스터마이징|블러핑,카드 게임,수집형 게임,SF|액션 포인트,덱 구성,핸드 관리,경주,비밀 유닛 배치,치고받기,가변적 플레이어 능력|124742|2|2|45|45|45|14|3.3973
